한글명,영문명
1개월,1 Months
1분기,1 quarter
15c,15c
1일,1st
2개월,2 Months
2분기,2 quarter
20피트,20 Feet
20c,20c
20피트,20ft
2일,2nd
3자리,3 Digit
3개월,3 Months
3분기,3 quarter
3일,3rd
4개월,4 Months
4분기,4 quarter
40피트,40 Feet
40피트,40ft
4일,4th
5개월,5 Months
5일,5th
6개월,6 Months
A,A
사령관,A Commander
법원,A Court Of Justice
요일,A Day Of The Week
고발자,A Denunciator
치안판사 법원,A Magistrate’S Court
문서 작성자,A Person Of Making A Document
우편 사서함,A Post-Office Box
AFIS,AFIS
API,API
포기됨,Abandoned
포기,Abandonment
약어,Abbreviation
약어,Abbreviator
비정상,Abnormal
비정상 행동,Abnormal Behavior
폐지,Abolition
토착성,Aboriginality
중절,Abort
위,Above
해외,Abroad
부재,Absence
부재자,Absentee
절대성,Absoluteness
수용,Accept
수용,Acceptance
수용 신청,Acceptance Of Application
승인,Accepted
승인자,Acceptor
출입,Access
사고,Accident
숙소,Accommodation
동반,Accompany
공범,Accomplice
합의,Accord
계정,Account
회계연도,Account Year
회계사,Accountant
회계,Accounting
회계,Accounty
인증,Accreditation
누적,Accumulate
누적,Accumulation
누적된,Accumulative
정확성,Accuracy
정확도,Accuracy Degree
고발자,Accuser
성취,Achievement
인정,Acknowledge
성격 인정,Acknowledge character
인정,Acknowledgment
취득,Acquired
취득자,Acquirer
취득,Acquisition
무죄,Acquittal
약어,Acronym
행위,Act
조치,Action
실행 가능한,Actionable
활성화,Activation
활동,Active
활동,Activity
행위자,Actor
실제,Actual
실제 결과,Actual Result
종가세,Ad valorem duty
적응성,Adaptability
합산,Add Up
추가,Added
추가,Addition
추가 비용,Addition Cost
추가,Additional
추가 징수,Additional Collection
추가 지방세,Additional Municipal Taxes
추가 절차 코드,Additional procedure codes
주소,Address
수신인,Addressee
주소 지정,Addressing
접속,Adhesion
판결,Adjudication
조정,Adjusted
조정,Adjustment
행정,Administration
입소,Admission
입소 허가됨,Admitted
성인,Adult
사전,Advance
사전 판결,Advance ruling
사전,Advancement
광고,Advertise
